departamento,municipio,anio,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha,rendimiento_kg_ha
Quindio,Calarca,2007,4736.0,3776.0,4744.0,1.26,1256.3559322033898
Quindio,Quimbaya,2007,3610.0,2964.0,4164.0,1.4,1404.8582995951417
Quindio,Pijao,2007,2626.0,2368.0,2585.0,1.09,1091.6385135135135
Quindio,Filandia,2007,2289.0,1920.0,2722.0,1.42,1417.7083333333333
Quindio,Circasia,2007,2237.0,1874.0,2379.0,1.27,1269.4770544290288
Quindio,Armenia,2007,2103.0,1820.0,2608.0,1.43,1432.967032967033
Quindio,Cordoba,2007,1517.0,1328.0,1375.0,1.04,1035.3915662650602
Quindio,Buenavista,2007,1137.0,990.0,1274.0,1.29,1286.8686868686868
Quindio,Montenegro,2007,1113.0,930.0,1413.0,1.52,1519.3548387096773
Quindio,Genova,2007,1043.0,931.0,886.0,0.95,951.6648764769066
Quindio,Salento,2007,677.0,611.0,589.0,0.96,963.9934533551555
Quindio,La Tebaida,2007,482.0,392.0,687.0,1.75,1752.5510204081634
Quindio,Calarca,2008,4664.0,3711.0,4410.0,1.19,1188.3589329021827
Quindio,Quimbaya,2008,3556.0,2924.0,3886.0,1.33,1329.001367989056
Quindio,Pijao,2008,2586.0,2330.0,2406.0,1.03,1032.618025751073
Quindio,Filandia,2008,2255.0,1902.0,2551.0,1.34,1341.2197686645636
Quindio,Circasia,2008,2203.0,1807.0,2170.0,1.2,1200.885445489762
Quindio,Armenia,2008,2071.0,1820.0,2467.0,1.36,1355.4945054945056
Quindio,Cordoba,2008,1494.0,1307.0,1281.0,0.98,980.1071155317521
Quindio,Buenavista,2008,1120.0,955.0,1163.0,1.22,1217.8010471204188
Quindio,Montenegro,2008,1096.0,944.0,1357.0,1.44,1437.5
Quindio,Genova,2008,1027.0,916.0,825.0,0.9,900.6550218340611
Quindio,Salento,2008,667.0,576.0,525.0,0.91,911.4583333333334
Quindio,La Tebaida,2008,475.0,379.0,628.0,1.66,1656.9920844327178
Quindio,Calarca,2009,4594.0,3898.0,4430.0,1.14,1136.4802462801438
Quindio,Quimbaya,2009,3502.0,2727.0,3466.0,1.27,1270.993766043271
Quindio,Pijao,2009,2547.0,2278.0,2250.0,0.99,987.7085162423178
Quindio,Filandia,2009,2221.0,1837.0,2356.0,1.28,1282.5258573761569
Quindio,Circasia,2009,2170.0,1801.0,2069.0,1.15,1148.8062187673515
Quindio,Armenia,2009,2040.0,1643.0,2130.0,1.3,1296.4090079123555
Quindio,Cordoba,2009,1471.0,1226.0,1149.0,0.94,937.1941272430669
Quindio,Buenavista,2009,1103.0,975.0,1135.0,1.16,1164.1025641025642
Quindio,Montenegro,2009,1079.0,866.0,1190.0,1.37,1374.1339491916858
Quindio,Genova,2009,1011.0,854.0,735.0,0.86,860.655737704918
Quindio,Salento,2009,657.0,598.0,522.0,0.87,872.9096989966555
Quindio,La Tebaida,2009,468.0,349.0,553.0,1.58,1584.5272206303725
Quindio,Calarca,2010,4509.0,3624.0,3825.0,1.06,1055.4635761589404
Quindio,Quimbaya,2010,3437.0,2690.0,3472.0,1.29,1290.7063197026023
Quindio,Pijao,2010,2500.0,2173.0,2270.0,1.04,1044.6387482742753
Quindio,Filandia,2010,2180.0,1745.0,2077.0,1.19,1190.2578796561604
Quindio,Circasia,2010,2130.0,1752.0,2176.0,1.24,1242.0091324200914
Quindio,Armenia,2010,2002.0,1541.0,1988.0,1.29,1290.0713822193381
Quindio,Cordoba,2010,1444.0,1168.0,1190.0,1.02,1018.8356164383562
Quindio,Buenavista,2010,1083.0,940.0,1202.0,1.28,1278.723404255319
Quindio,Montenegro,2010,1059.0,834.0,1192.0,1.43,1429.2565947242206
Quindio,Genova,2010,993.0,787.0,732.0,0.93,930.1143583227446
Quindio,Salento,2010,644.0,566.0,448.0,0.79,791.5194346289753
Quindio,La Tebaida,2010,459.0,339.0,493.0,1.45,1454.2772861356932
Quindio,Calarca,2011,5081.0,3367.0,4022.0,1.19,1194.5351945351945
Quindio,Genova,2011,4870.0,2798.0,2160.0,0.77,771.9799857040744
Quindio,Quimbaya,2011,3775.0,2575.0,3089.0,1.2,1199.611650485437
Quindio,Pijao,2011,3385.0,2018.0,1751.0,0.87,867.6907829534192
Quindio,Circasia,2011,2707.0,2072.0,2483.0,1.2,1198.3590733590734
Quindio,Filandia,2011,2502.0,1641.0,1471.0,0.9,896.4046313223644
Quindio,Armenia,2011,2453.0,1764.0,2116.0,1.2,1199.546485260771
Quindio,Cordoba,2011,2154.0,1320.0,1174.0,0.89,889.3939393939394
Quindio,Montenegro,2011,1608.0,1060.0,1056.0,1.0,996.2264150943396
Quindio,Buenavista,2011,1244.0,781.0,777.0,1.0,994.8783610755441
Quindio,Salento,2011,655.0,340.0,271.0,0.8,797.0588235294117
Quindio,La Tebaida,2011,647.0,404.0,444.0,1.1,1099.009900990099
Quindio,Calarca,2012,4978.0,3322.0,3594.0,1.08,1081.8783865141481
Quindio,Genova,2012,4784.0,3780.0,2384.0,0.63,630.6878306878307
Quindio,Quimbaya,2012,3623.0,2304.0,2301.0,1.0,998.6979166666666
Quindio,Pijao,2012,3270.0,2630.0,1972.0,0.75,749.8098859315589
Quindio,Circasia,2012,2550.0,1789.0,1428.0,0.8,798.2112912241475
Quindio,Filandia,2012,2430.0,1657.0,1318.0,0.8,795.4133977066989
Quindio,Armenia,2012,2333.0,1477.0,1473.0,1.0,997.291807718348
Quindio,Cordoba,2012,2103.0,1640.0,1398.0,0.85,852.439024390244
Quindio,Montenegro,2012,1580.0,903.0,809.0,0.9,895.9025470653378
Quindio,Buenavista,2012,1244.0,806.0,632.0,0.78,784.1191066997519
Quindio,La Tebaida,2012,653.0,339.0,373.0,1.1,1100.2949852507375
Quindio,Salento,2012,633.0,463.0,347.0,0.75,749.4600431965442
Quindio,Calarca,2013,4668.0,3216.0,3630.0,1.13,1128.7313432835822
Quindio,Genova,2013,4524.0,3632.0,2705.0,0.74,744.7687224669603
Quindio,Quimbaya,2013,3472.0,2387.0,2540.0,1.06,1064.0971931294512
Quindio,Pijao,2013,3265.0,2635.0,2440.0,0.93,925.9962049335863
Quindio,Circasia,2013,2469.0,1803.0,1919.0,1.06,1064.3372157515253
Quindio,Filandia,2013,2292.0,1713.0,1641.0,0.96,957.968476357268
Quindio,Armenia,2013,2280.0,1565.0,1665.0,1.06,1063.8977635782749
Quindio,Cordoba,2013,2021.0,1610.0,1542.0,0.96,957.7639751552795
Quindio,Montenegro,2013,1485.0,958.0,1019.0,1.06,1063.6743215031315
Quindio,Buenavista,2013,1198.0,845.0,719.0,0.85,850.887573964497
Quindio,Salento,2013,614.0,476.0,355.0,0.74,745.7983193277311
Quindio,La Tebaida,2013,590.0,362.0,424.0,1.17,1171.2707182320441
Quindio,Calarca,2014,4432.0,3438.0,4196.0,1.22,1220.477021524142
Quindio,Genova,2014,4396.0,3749.0,3019.0,0.81,805.2814083755668
Quindio,Quimbaya,2014,3274.0,2222.0,2557.0,1.15,1150.7650765076507
Quindio,Pijao,2014,3186.0,2644.0,2647.0,1.0,1001.1346444780636
Quindio,Circasia,2014,2339.0,1834.0,2110.0,1.15,1150.4907306434025
Quindio,Armenia,2014,2220.0,1480.0,1703.0,1.15,1150.6756756756756
Quindio,Filandia,2014,2136.0,1746.0,1808.0,1.04,1035.5097365406643
Quindio,Cordoba,2014,1908.0,1615.0,1673.0,1.04,1035.9133126934985
Quindio,Montenegro,2014,1432.0,984.0,1132.0,1.15,1150.4065040650407
Quindio,Buenavista,2014,1170.0,907.0,835.0,0.92,920.6174200661521
Quindio,Salento,2014,595.0,498.0,401.0,0.81,805.2208835341365
Quindio,La Tebaida,2014,584.0,345.0,437.0,1.27,1266.6666666666667
Quindio,Calarca,2015,4373.0,3497.0,4081.0,1.17,1167.0002859593938
Quindio,Genova,2015,4373.0,3719.0,3785.0,1.02,1017.7467061037913
Quindio,Quimbaya,2015,3183.0,2179.0,3064.0,1.41,1406.149609912804
