year,precio_cop_carga,precio_lag1,precio_lag2
1990,120000.0,,
1991,128892.83,120000.0,
1992,145113.83,128892.83,120000.0
1993,157466.21,145113.83,128892.83
1994,186637.23,157466.21,145113.83
1995,192798.07,186637.23,157466.21
1996,193140.25,192798.07,186637.23
1997,194030.99,193140.25,192798.07
1998,265196.7,194030.99,193140.25
1999,261135.59,265196.7,194030.99
2000,294386.55,261135.59,265196.7
2001,296988.61,294386.55,261135.59
2002,255497.03,296988.61,294386.55
2003,458537.49,255497.03,296988.61
2004,468892.74,458537.49,255497.03
2005,489962.82,468892.74,458537.49
2006,592555.32,489962.82,468892.74
2007,418925.22,592555.32,489962.82
2008,992389.64,418925.22,592555.32
2009,619372.63,992389.64,418925.22
2010,813140.14,619372.63,992389.64
2011,999140.79,813140.14,619372.63
2012,382672.19,999140.79,813140.14
2013,1630651.68,382672.19,999140.79
2014,949792.4,1630651.68,382672.19
2015,643896.21,949792.4,1630651.68
2016,1116644.03,643896.21,949792.4
2017,2600000.0,1116644.03,643896.21
2018,1389710.03,2600000.0,1116644.03
2019,942085.64,1389710.03,2600000.0
2020,1706633.95,942085.64,1389710.03
2021,3649526.72,1706633.95,942085.64
2022,2916512.62,3649526.72,1706633.95
2023,2334505.77,2916512.62,3649526.72
2024,2600000.0,2334505.77,2916512.62
2025,2600000.0,2600000.0,2334505.77
2026,2600000.0,2600000.0,2600000.0
