departamento,year,roya_dummy,roya_shock
Narino,2000,0,0.0
Narino,2001,0,0.0
Narino,2002,0,0.0
Narino,2003,0,0.0
Narino,2004,0,0.0
Narino,2005,0,0.0
Narino,2006,0,0.0
Narino,2007,0,0.0
Narino,2008,0,0.0
Narino,2009,0,0.0
Narino,2010,0,0.0
Narino,2011,0,0.0
Narino,2012,1,0.15
Narino,2013,1,0.15
Narino,2014,1,0.15
Narino,2015,0,0.0
Narino,2016,0,0.0
Narino,2017,0,0.0
Narino,2018,0,0.0
Narino,2019,0,0.0
Narino,2020,0,0.0
Narino,2021,0,0.0
Narino,2022,0,0.0
Narino,2023,0,0.0
Narino,2024,0,0.0
Narino,2025,0,0.0
Quindio,2000,0,0.0
Quindio,2001,0,0.0
Quindio,2002,0,0.0
Quindio,2003,0,0.0
Quindio,2004,0,0.0
Quindio,2005,0,0.0
Quindio,2006,0,0.0
Quindio,2007,0,0.0
Quindio,2008,0,0.0
Quindio,2009,0,0.0
Quindio,2010,0,0.0
Quindio,2011,0,0.0
Quindio,2012,1,0.12
Quindio,2013,1,0.12
Quindio,2014,1,0.12
Quindio,2015,0,0.0
Quindio,2016,0,0.0
Quindio,2017,0,0.0
Quindio,2018,0,0.0
Quindio,2019,0,0.0
Quindio,2020,0,0.0
Quindio,2021,0,0.0
Quindio,2022,0,0.0
Quindio,2023,0,0.0
Quindio,2024,0,0.0
Quindio,2025,0,0.0
