departamento,feature,deltaR2_perdido,rank
Narino,roya_dummy,0.5165,1
Narino,anom_temp_mean_e9,0.4847,2
Narino,spi3_cosecha_lag1,0.4552,3
Narino,spi3_std,0.4465,4
Narino,roya_shock,0.4361,5
Narino,oni_mean,0.4313,6
Narino,roya_interact,0.428,7
Narino,spi3_floracion,0.4196,8
Narino,spi3_floracion_lag1,0.4149,9
Narino,oni_min,0.4129,10
Narino,spi3_median,0.4096,11
Narino,spi3_min_lag1,0.4095,12
Narino,spi3_desarrollo,0.4089,13
Narino,evi_min,0.3993,14
Narino,spi3_median_lag1,0.3965,15
Narino,evi_max,0.3958,16
Narino,spi3_desarrollo_lag1,0.3956,17
Narino,oni_mean_lag1,0.3943,18
Narino,oni_max,0.3932,19
Narino,spi3_cosecha,0.393,20
Narino,spi3_min,0.3926,21
Narino,n_sequia_e9,0.3924,22
Narino,ndvi_max,0.3923,23
Narino,n_sequia_e9_lag1,0.392,24
Narino,temp_sq_e9,0.3919,25
Narino,precio_lag2,0.3919,26
Narino,tmax_mean_e9,0.3919,27
Narino,precio_lag1,0.3919,28
Narino,precio_cop_carga,0.3919,29
Narino,n_exceso_e9_lag1,0.3919,30
Narino,n_exceso_e9,0.3919,31
Narino,area_cosechada_ha,0.3919,32
Narino,precio_spi_int,0.3919,33
Narino,tmedia_mean_e9,0.3919,34
Narino,ndvi_min,0.3919,35
Narino,spi3_max,0.3917,36
Narino,spi3_mean,0.3908,37
Narino,ndvi_mean,0.3896,38
Narino,pct_area_cosechada,0.3891,39
Narino,spi3_mean_lag1,0.3886,40
Narino,evi_mean,0.3882,41
Narino,enso_spi3dev,0.3861,42
Quindio,pct_area_cosechada,0.6414,1
Quindio,roya_dummy,0.4675,2
Quindio,roya_shock,0.4241,3
Quindio,roya_interact,0.4008,4
Quindio,anom_temp_mean_e9,0.378,5
Quindio,spi3_floracion_lag1,0.3687,6
Quindio,spi3_floracion,0.3658,7
Quindio,oni_mean_lag1,0.3615,8
Quindio,spi3_cosecha_lag1,0.3606,9
Quindio,n_sequia_e9_lag1,0.3601,10
Quindio,spi3_std,0.3582,11
Quindio,spi3_min,0.3546,12
Quindio,spi3_cosecha,0.354,13
Quindio,enso_spi3dev,0.3537,14
Quindio,evi_max,0.3528,15
Quindio,oni_max,0.3526,16
Quindio,oni_mean,0.3525,17
Quindio,ndvi_mean,0.3519,18
Quindio,evi_mean,0.3515,19
Quindio,spi3_desarrollo_lag1,0.3509,20
Quindio,spi3_mean,0.3507,21
Quindio,ndvi_min,0.3503,22
Quindio,evi_min,0.3501,23
Quindio,n_exceso_e9_lag1,0.35,24
Quindio,spi3_median,0.3499,25
Quindio,spi3_mean_lag1,0.3495,26
Quindio,spi3_median_lag1,0.3493,27
Quindio,temp_sq_e9,0.3492,28
Quindio,precio_lag2,0.3492,29
Quindio,precio_spi_int,0.3492,30
Quindio,tmax_mean_e9,0.3492,31
Quindio,precio_lag1,0.3492,32
Quindio,precio_cop_carga,0.3492,33
Quindio,ndvi_max,0.3492,34
Quindio,area_cosechada_ha,0.3492,35
Quindio,tmedia_mean_e9,0.3492,36
Quindio,n_sequia_e9,0.3489,37
Quindio,oni_min,0.3488,38
Quindio,n_exceso_e9,0.3482,39
Quindio,spi3_max,0.3474,40
Quindio,spi3_min_lag1,0.3469,41
Quindio,spi3_desarrollo,0.3463,42
