year,oni_mean,oni_max,oni_min,oni_std,oni_mean_lag1,enso_phase
1950,-0.86,-0.39,-1.53,0.3908498898089091,,Nina
1951,0.43083333333333335,1.15,-0.82,0.6457055103223188,-0.86,Neutro
1952,0.17416666666666666,0.53,-0.08,0.1800231466599041,0.43083333333333335,Neutro
1953,0.7133333333333334,0.84,0.4,0.12536008740883806,0.17416666666666666,Nino
1954,-0.4008333333333334,0.76,-0.9,0.5282296045769446,0.7133333333333334,Neutro
1955,-0.9483333333333334,-0.62,-1.67,0.3683583564789576,-0.4008333333333334,Nina
1956,-0.5775,-0.42,-1.11,0.19349066221302866,-0.9483333333333334,Nina
1957,0.9608333333333334,1.74,-0.25,0.6125276740810587,-0.5775,Nino
1958,0.8325,1.81,0.39,0.48874840153191285,0.9608333333333334,Nino
1959,0.13666666666666666,0.62,-0.28,0.31340747027510757,0.8325,Neutro
1960,0.06833333333333333,0.27,-0.1,0.12626331312944486,0.13666666666666666,Neutro
1961,-0.016666666666666666,0.27,-0.3,0.18840639505327228,0.06833333333333333,Neutro
1962,-0.215,-0.04,-0.43,0.10672820194732548,-0.016666666666666666,Neutro
1963,0.6575,1.37,-0.4,0.6209541777853588,-0.215,Nino
1964,-0.3416666666666666,1.07,-0.82,0.6192786615135876,0.6575,Neutro
1965,0.9008333333333334,1.98,-0.59,0.9375253531925352,-0.3416666666666666,Nino
1966,0.375,1.37,-0.3,0.5511393158308935,0.9008333333333334,Neutro
1967,-0.30666666666666664,0.05,-0.53,0.1865150899736501,0.375,Neutro
1968,0.135,0.98,-0.74,0.6039340722598483,-0.30666666666666664,Neutro
1969,0.745,1.13,0.36,0.2455976014096673,0.135,Nino
1970,-0.32,0.51,-1.15,0.5669535815535198,0.745,Neutro
1971,-0.94,-0.73,-1.38,0.227156333832011,-0.32,Nina
1972,0.9274999999999999,2.12,-0.71,0.9375415142323517,-0.94,Nino
1973,-0.6175,1.84,-2.03,1.2628620093048386,0.9274999999999999,Nina
1974,-0.8866666666666667,-0.37,-1.84,0.45515897988471776,-0.6175,Nina
1975,-1.0525,-0.54,-1.65,0.39217632861669854,-0.8866666666666667,Nina
1976,-0.049166666666666664,0.86,-1.56,0.8127222306805839,-1.0525,Neutro
1977,0.5116666666666666,0.81,0.21,0.22098265391956293,-0.049166666666666664,Nino
1978,-0.09833333333333333,0.69,-0.42,0.3471398286080994,0.5116666666666666,Neutro
