year,departamento,tmax_mean
1972,Quindio,29.74
1973,Quindio,29.69
1974,Quindio,30.01
1975,Quindio,29.86
1976,Quindio,30.1
1977,Quindio,30.18
1978,Quindio,29.74
1979,Quindio,29.82
1980,Quindio,30.13
1981,Quindio,30.13
1982,Quindio,30.13
1983,Quindio,30.6
1984,Quindio,30.64
1985,Quindio,29.56
1986,Quindio,30.17
1987,Quindio,30.1
1988,Quindio,29.86
1989,Quindio,29.67
1990,Quindio,29.48
1991,Quindio,30.16
1992,Quindio,30.12
1993,Quindio,30.38
1994,Quindio,30.22
1995,Quindio,30.6
1996,Quindio,30.75
1997,Quindio,30.14
1998,Quindio,30.21
1999,Quindio,30.88
2000,Quindio,30.15
2001,Quindio,31.06
2002,Quindio,31.21
2003,Quindio,30.4
2004,Quindio,30.58
2005,Quindio,30.7
2006,Quindio,30.15
2007,Quindio,31.32
2008,Quindio,29.89
2009,Quindio,30.63
2010,Quindio,30.55
2011,Quindio,31.39
2012,Quindio,30.75
2013,Quindio,30.24
2014,Quindio,30.95
2015,Quindio,30.89
2016,Quindio,31.26
2017,Quindio,30.22
2018,Quindio,31.2
2019,Quindio,31.25
2020,Quindio,30.67
2021,Quindio,30.6
2022,Quindio,30.71
2023,Quindio,31.34
2024,Quindio,31.27
2025,Quindio,30.84
1972,Narino,19.42
1973,Narino,19.58
1974,Narino,19.04
1975,Narino,19.59
1976,Narino,19.05
1977,Narino,19.09
1978,Narino,19.19
1979,Narino,19.37
1980,Narino,18.56
1981,Narino,18.94
1982,Narino,18.51
1983,Narino,19.57
1984,Narino,19.81
1985,Narino,19.91
1986,Narino,18.73
1987,Narino,19.46
1988,Narino,19.05
1989,Narino,19.01
1990,Narino,19.31
1991,Narino,19.07
1992,Narino,20.27
1993,Narino,19.06
1994,Narino,19.25
1995,Narino,19.56
1996,Narino,19.66
1997,Narino,19.67
1998,Narino,19.27
1999,Narino,19.79
2000,Narino,19.83
2001,Narino,20.0
2002,Narino,19.71
2003,Narino,20.13
2004,Narino,19.32
2005,Narino,20.3
2006,Narino,20.16
2007,Narino,20.0
2008,Narino,20.07
2009,Narino,20.28
2010,Narino,20.26
2011,Narino,19.61
2012,Narino,20.39
2013,Narino,20.1
2014,Narino,20.46
2015,Narino,20.21
2016,Narino,19.75
2017,Narino,19.73
2018,Narino,20.29
2019,Narino,20.54
2020,Narino,19.66
2021,Narino,20.09
2022,Narino,20.6
2023,Narino,20.13
2024,Narino,20.9
2025,Narino,20.53
