year,departamento,tmedia_mean
1972,Quindio,21.98
1973,Quindio,22.07
1974,Quindio,21.89
1975,Quindio,22.06
1976,Quindio,22.14
1977,Quindio,22.63
1978,Quindio,21.73
1979,Quindio,22.49
1980,Quindio,22.77
1981,Quindio,21.9
1982,Quindio,22.29
1983,Quindio,22.34
1984,Quindio,22.21
1985,Quindio,22.13
1986,Quindio,21.97
1987,Quindio,21.57
1988,Quindio,22.56
1989,Quindio,21.24
1990,Quindio,22.59
1991,Quindio,22.75
1992,Quindio,22.09
1993,Quindio,22.67
1994,Quindio,22.75
1995,Quindio,22.77
1996,Quindio,22.39
1997,Quindio,22.69
1998,Quindio,22.66
1999,Quindio,22.33
2000,Quindio,22.45
2001,Quindio,22.88
2002,Quindio,22.49
2003,Quindio,22.86
2004,Quindio,22.76
2005,Quindio,22.67
2006,Quindio,22.81
2007,Quindio,22.91
2008,Quindio,22.84
2009,Quindio,22.9
2010,Quindio,23.1
2011,Quindio,22.83
2012,Quindio,22.98
2013,Quindio,22.86
2014,Quindio,23.1
2015,Quindio,22.93
2016,Quindio,23.25
2017,Quindio,23.41
2018,Quindio,22.56
2019,Quindio,23.56
2020,Quindio,23.5
2021,Quindio,22.84
2022,Quindio,23.97
2023,Quindio,23.24
2024,Quindio,23.36
2025,Quindio,23.8
1972,Narino,10.98
1973,Narino,10.84
1974,Narino,11.13
1975,Narino,11.33
1976,Narino,11.43
1977,Narino,11.56
1978,Narino,11.93
1979,Narino,11.09
1980,Narino,10.96
1981,Narino,11.52
1982,Narino,11.42
1983,Narino,11.42
1984,Narino,10.99
1985,Narino,11.73
1986,Narino,11.75
1987,Narino,11.44
1988,Narino,12.51
1989,Narino,11.17
1990,Narino,11.97
1991,Narino,11.43
1992,Narino,11.35
1993,Narino,11.27
1994,Narino,12.06
1995,Narino,11.51
1996,Narino,11.57
1997,Narino,11.63
1998,Narino,11.94
1999,Narino,12.22
2000,Narino,11.96
2001,Narino,12.31
2002,Narino,12.37
2003,Narino,11.77
2004,Narino,12.06
2005,Narino,12.28
2006,Narino,12.25
2007,Narino,12.06
2008,Narino,12.59
2009,Narino,11.98
2010,Narino,12.01
2011,Narino,12.24
2012,Narino,12.08
2013,Narino,11.81
2014,Narino,12.56
2015,Narino,12.22
2016,Narino,12.57
2017,Narino,12.67
2018,Narino,11.86
2019,Narino,12.5
2020,Narino,12.16
2021,Narino,12.44
2022,Narino,12.59
2023,Narino,12.15
2024,Narino,12.08
2025,Narino,12.45
